date,state,state_abbrev,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines
2021/10/1,Australian Capital Territory,ACT,52,2,3866,52,22,1,0,0,10480
2021/10/2,Australian Capital Territory,ACT,52,0,3772,52,7,2,0,0,8794
2021/10/3,Australian Capital Territory,ACT,38,0,1909,38,15,1,2,0,7582
2021/10/4,Australian Capital Territory,ACT,28,0,2032,28,8,2,0,-2,6230
2021/10/5,Australian Capital Territory,ACT,33,0,5471,33,11,-2,0,2,4845
2021/10/6,Australian Capital Territory,ACT,28,0,2682,28,17,2,2,1,11076
2021/10/7,Australian Capital Territory,ACT,41,0,3597,41,29,-1,0,2,8382
2021/10/8,Australian Capital Territory,ACT,40,0,2787,40,17,1,-1,-1,8340
2021/10/9,Australian Capital Territory,ACT,25,0,5326,25,25,1,-1,0,6534
2021/10/10,Australian Capital Territory,ACT,30,0,2321,30,27,-2,1,0,6196
2021/10/1,New South Wales,NSW,859,15,112334,859,0,-35,-3,-1,121763
2021/10/2,New South Wales,NSW,802,10,98266,802,0,-50,-8,-5,124439
2021/10/3,New South Wales,NSW,654,10,88210,654,0,-24,-7,-6,64184
2021/10/4,New South Wales,NSW,611,6,76892,611,0,-22,-2,4,29762
2021/10/5,New South Wales,NSW,597,7,85642,597,0,19,-3,0,22152
2021/10/6,New South Wales,NSW,580,10,90680,580,0,-19,-2,-4,140225
2021/10/7,New South Wales,NSW,568,8,112186,568,0,-48,-7,-8,119982
2021/10/8,New South Wales,NSW,645,11,103388,645,0,-55,-11,-10,115924
2021/10/9,New South Wales,NSW,577,11,79894,577,0,-44,-7,0,121514
2021/10/10,New South Wales,NSW,466,6,86155,466,0,-18,-4,1,75640
2021/10/1,Northern Territory,NT,1,0,-5194,1,0,1,0,0,2042
2021/10/2,Northern Territory,NT,0,0,1688,0,0,0,0,0,1782
2021/10/3,Northern Territory,NT,0,0,1144,0,0,0,0,0,888
2021/10/4,Northern Territory,NT,0,0,1234,0,2,-2,0,0,636
2021/10/5,Northern Territory,NT,0,0,1698,0,0,0,0,0,1508
2021/10/6,Northern Territory,NT,0,0,2068,0,0,0,0,0,1256
2021/10/7,Northern Territory,NT,0,0,650,0,0,1,0,0,1856
2021/10/8,Northern Territory,NT,1,0,1526,1,2,-2,0,0,1746
2021/10/9,Northern Territory,NT,1,0,2098,1,0,0,0,0,1987
2021/10/10,Northern Territory,NT,0,0,553,0,0,0,0,0,673
2021/10/1,Queensland,QLD,4,0,19699,4,2,5,0,0,58908
2021/10/2,Queensland,QLD,3,0,21156,3,2,-1,0,0,54515
2021/10/3,Queensland,QLD,1,0,18334,1,0,0,0,0,35414
2021/10/4,Queensland,QLD,3,0,9410,3,2,2,0,0,27089
2021/10/5,Queensland,QLD,2,0,8692,2,1,1,0,0,19251
2021/10/6,Queensland,QLD,3,0,12752,3,0,0,0,0,50798
2021/10/7,Queensland,QLD,5,0,14942,5,0,1,0,0,57406
2021/10/8,Queensland,QLD,0,0,15687,0,4,2,0,0,57030
2021/10/9,Queensland,QLD,3,0,11278,3,0,2,0,0,51153
2021/10/10,Queensland,QLD,3,0,7079,3,0,-2,0,0,36566
2021/10/1,South Australia,SA,1,0,5540,1,1,0,0,0,18469
2021/10/2,South Australia,SA,2,0,5854,2,-1,0,0,0,17428
2021/10/3,South Australia,SA,1,0,4160,1,0,0,0,0,10433
2021/10/4,South Australia,SA,1,0,3941,1,0,0,0,0,8671
2021/10/5,South Australia,SA,1,0,4619,1,1,0,0,0,7107
2021/10/6,South Australia,SA,0,0,6110,0,0,0,0,0,20317
2021/10/7,South Australia,SA,0,0,7068,0,0,0,0,0,20420
