date,state,state_abbrev,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines
2021/9/10,Australian Capital Territory,ACT,24,0,2765,24,13,6,2,0,6421
2021/9/10,New South Wales,NSW,1508,9,133226,1508,0,-7,6,9,121182
2021/9/10,Northern Territory,NT,0,0,1543,0,1,-1,0,0,2873
2021/9/10,Queensland,QLD,1,0,11940,1,0,0,0,0,49870
2021/9/10,South Australia,SA,0,0,5021,0,1,0,0,0,18576
2021/9/10,Tasmania,TAS,0,0,838,0,0,0,0,0,6554
2021/9/10,Victoria,VIC,333,1,42998,333,72,16,1,0,86898
2021/9/10,Western Australia,WA,0,0,2491,0,0,0,0,0,26683
2021/9/11,Australian Capital Territory,ACT,15,0,2151,15,4,1,-1,0,6733
2021/9/11,New South Wales,NSW,1573,8,147975,1573,0,8,14,5,118980
2021/9/11,Northern Territory,NT,0,0,1576,0,0,0,0,0,2580
2021/9/11,Queensland,QLD,8,0,11888,8,9,-6,0,0,49955
2021/9/11,South Australia,SA,1,0,5110,1,0,0,0,0,16384
2021/9/11,Tasmania,TAS,0,0,127,0,0,0,0,0,4202
2021/9/11,Victoria,VIC,447,0,42765,447,80,16,1,7,80945
2021/9/11,Western Australia,WA,0,0,0,0,0,0,0,0,23773
2021/9/12,Australian Capital Territory,ACT,15,0,1582,15,25,-6,0,0,5479
2021/9/12,New South Wales,NSW,1247,7,105505,1247,0,42,-1,-2,64125
2021/9/12,Northern Territory,NT,0,0,1322,0,1,0,0,0,1041
2021/9/12,Queensland,QLD,1,0,12415,1,0,1,0,0,34800
2021/9/12,South Australia,SA,2,0,4669,2,0,0,0,0,9841
2021/9/12,Tasmania,TAS,0,0,927,0,0,0,0,0,4660
2021/9/12,Victoria,VIC,384,0,48063,384,65,4,0,2,59682
2021/9/12,Western Australia,WA,1,0,0,1,0,0,0,0,16181
2021/9/13,Australian Capital Territory,ACT,13,0,4744,13,7,-1,0,0,5668
2021/9/13,New South Wales,NSW,1238,7,137668,1238,0,-17,2,2,37571
2021/9/13,Northern Territory,NT,0,0,1257,0,0,0,0,0,710
2021/9/13,Queensland,QLD,4,0,14506,4,5,4,0,0,23321
