Country_Region,Confirmed,Deaths
Afghanistan,155508,7225
Albania,174968,2768
Algeria,204597,5853
Andorra,15291,130
Angola,61378,1622
Antigua and Barbuda,3750,93
Argentina,5265859,115473
Armenia,272356,5549
Australia,129567,1448
Austria,761218,11096
Azerbaijan,492179,6664
Bahamas,21580,590
Bahrain,275654,1390
Bangladesh,1562359,27688
Barbados,10918,94
Belarus,557772,4289
Belgium,1261102,25675
Belize,22187,427
Benin,24335,159
Bhutan,2613,3
Bolivia,503735,18795
Bosnia and Herzegovina,240094,10863
Botswana,180438,2376
Brazil,21575820,601011
Brunei,8980,64
Bulgaria,520862,21656
Burkina Faso,14495,195
Burma,478651,18134
Burundi,19041,38
Cabo Verde,37888,346
Cambodia,114810,2506
Cameroon,95399,1517
Canada,1666906,28254
Central African Republic,11401,100
Chad,5059,174
Chile,1662433,37564
China,108761,4849
Colombia,4972236,126623
Comoros,4165,147
Congo (Brazzaville),14833,206
Congo (Kinshasa),57132,1087
Costa Rica,544021,6612
Cote d'Ivoire,60819,666
Croatia,417858,8772
Cuba,918383,7851
Cyprus,120992,559
Czechia,1699743,30501
Denmark,365803,2671
Diamond Princess,712,13
Djibouti,13179,174
Dominica,4006,26
Dominican Republic,365558,4067
Ecuador,511699,32836
Egypt,312413,17695
El Salvador,107664,3381
Equatorial Guinea,12657,154
Eritrea,6741,42
Estonia,164618,1394
Eswatini,46276,1227
Ethiopia,354476,5990
Fiji,51499,653
Finland,145679,1096
France,7156066,117927
Gabon,32135,201
Gambia,9941,339
Georgia,634053,9246
Germany,4318437,94213
Ghana,128368,1158
Greece,676799,15135
Grenada,5619,177
Guatemala,579489,14027
Guinea,30501,383
Guinea-Bissau,6117,135
Guyana,33696,840
Haiti,22526,641
Holy See,27,0
Honduras,369030,9948
Hungary,827410,30275
Iceland,12147,33
India,33971607,450782
Indonesia,4227932,142651
Iran,5702890,122592
Iraq,2023761,22563
Ireland,403157,5280
Israel,1305711,7920
Italy,4700316,131301
Jamaica,86126,2000
Japan,1711756,17952
Jordan,833471,10811
Kazakhstan,982888,16346
Kenya,251152,5181
Kiribati,2,0
"Korea, South",332816,2583
Kosovo,160386,2970
Kuwait,412079,2454
Kyrgyzstan,179281,2619
Laos,28540,26
Latvia,171276,2801
Lebanon,630180,8385
Lesotho,21457,652
Liberia,5799,286
Libya,346176,4775
Liechtenstein,3567,58
Lithuania,351939,5231
Luxembourg,79018,836
MS Zaandam,9,2
Madagascar,43610,960
Malawi,61676,2290
Malaysia,2339594,27329
Maldives,85548,234
Mali,15471,553
Malta,37347,459
Marshall Islands,4,0
Mauritania,36414,785
Mauritius,16189,106
Mexico,3723235,282086
Micronesia,1,0
Moldova,306647,7024
Monaco,3335,35
Mongolia,326738,1450
Montenegro,135298,1986
Morocco,939187,14457
Mozambique,150985,1922
Namibia,128106,3527
Nepal,802198,11231
Netherlands,2062742,18630
New Zealand,4660,28
Nicaragua,15134,205
Niger,6115,204
Nigeria,207694,2747
North Macedonia,194891,6831
Norway,193562,871
Oman,303965,4102
Pakistan,1258959,28134
Palau,5,0
Panama,469082,7267
Papua New Guinea,23026,245
Paraguay,460190,16206
Peru,2184223,199675
Philippines,2666562,39624
Poland,2922401,75869
Portugal,1075312,18041
Qatar,237424,607
Romania,1356640,39420
Russia,7658923,212576
Rwanda,98697,1308
Saint Kitts and Nevis,2361,17
Saint Lucia,11970,224
Saint Vincent and the Grenadines,4096,38
Samoa,3,0
San Marino,5466,91
Sao Tome and Principe,3628,56
Saudi Arabia,547591,8745
Senegal,73837,1868
Serbia,1005168,8737
Seychelles,21726,118
Sierra Leone,6396,121
Singapore,126966,162
Slovakia,425569,12731
Slovenia,301458,4613
Solomon Islands,20,0
Somalia,21269,1180
South Africa,2912145,88317
South Sudan,12104,130
Spain,4973619,86778
Sri Lanka,526383,13331
Sudan,38824,2951
Suriname,44270,960
Sweden,1157822,14905
Switzerland,848418,11120
Syria,36953,2341
Taiwan,16294,846
Tajikistan,17484,125
Tanzania,25957,723
Thailand,1710884,17691
Timor-Leste,19673,119
Togo,25778,236
Trinidad and Tobago,52728,1551
Tunisia,709834,25028
Turkey,7444522,66180
United States of America,44340183,713095
Uganda,124646,3176
Ukraine,2657699,62332
United Arab Emirates,737766,2113
United Kingdom,8192589,138139
Uruguay,390038,6064
Uzbekistan,178259,1269
Vanuatu,4,1
Venezuela,383376,4617
Vietnam,839662,20555
West Bank and Gaza,441882,4465
Yemen,9369,1778
Zambia,209347,3654
Zimbabwe,131796,4637
