FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2021/10/11 4:21,33.93911,67.709953,155508,7225,,,Afghanistan,399.4724563,4.646063225
,,,Albania,2021/10/11 4:21,41.1533,20.1683,174968,2768,,,Albania,6079.922163,1.582003566
,,,Algeria,2021/10/11 4:21,28.0339,1.6596,204597,5853,,,Algeria,466.5727107,2.860745759
,,,Andorra,2021/10/11 4:21,42.5063,1.5218,15291,130,,,Andorra,19790.33197,0.850173305
,,,Angola,2021/10/11 4:21,-11.2027,17.8739,61378,1622,,,Angola,186.750744,2.642640686
,,,Antigua and Barbuda,2021/10/11 4:21,17.0608,-61.7964,3750,93,,,Antigua and Barbuda,3829.344008,2.48
,,,Argentina,2021/10/11 4:21,-38.4161,-63.6167,5265859,115473,,,Argentina,11651.2191,2.192861601
,,,Armenia,2021/10/11 4:21,40.0691,45.0382,272356,5549,,,Armenia,9191.174237,2.037406923
,,Australian Capital Territory,Australia,2021/10/11 4:21,-35.4735,149.0124,1358,9,,,"Australian Capital Territory, Australia",317.2156038,0.662739323
,,New South Wales,Australia,2021/10/11 4:21,-33.8688,151.2093,69205,493,,,"New South Wales, Australia",852.4882976,0.712376273
,,Northern Territory,Australia,2021/10/11 4:21,-12.4634,130.8456,215,0,,,"Northern Territory, Australia",87.54071661,0
,,Queensland,Australia,2021/10/11 4:21,-27.4698,153.0251,2063,7,,,"Queensland, Australia",40.32841364,0.339311682
,,South Australia,Australia,2021/10/11 4:21,-34.9285,138.6007,910,4,,,"South Australia, Australia",51.80757188,0.43956044
,,Tasmania,Australia,2021/10/11 4:21,-42.8821,147.3272,236,13,,,"Tasmania, Australia",44.07096172,5.508474576
,,Victoria,Australia,2021/10/11 4:21,-37.8136,144.9631,54470,913,,,"Victoria, Australia",821.5810193,1.67615201
,,Western Australia,Australia,2021/10/11 4:21,-31.9505,115.8605,1110,9,,,"Western Australia, Australia",42.1956968,0.810810811
,,,Austria,2021/10/11 4:21,47.5162,14.5501,761218,11096,,,Austria,8451.96749,1.457663902
,,,Azerbaijan,2021/10/11 4:21,40.1431,47.5769,492179,6664,,,Azerbaijan,4854.231237,1.353978939
,,,Bahamas,2021/10/11 4:21,25.025885,-78.035889,21580,590,,,Bahamas,5487.631215,2.734012975
,,,Bahrain,2021/10/11 4:21,26.0275,50.55,275654,1390,,,Bahrain,16199.85625,0.504255335
,,,Bangladesh,2021/10/11 4:21,23.685,90.3563,1562359,27688,,,Bangladesh,948.6701398,1.772191923
,,,Barbados,2021/10/11 4:21,13.1939,-59.5432,10918,94,,,Barbados,3799.269933,0.860963546
,,,Belarus,2021/10/11 4:21,53.7098,27.9534,557772,4289,,,Belarus,5902.773332,0.768952188
,,Antwerp,Belgium,2021/10/11 4:21,51.2195,4.4024,165630,0,,,"Antwerp, Belgium",8914.491282,0
,,Brussels,Belgium,2021/10/11 4:21,50.8503,4.3517,170573,0,,,"Brussels, Belgium",14113.94887,0
,,East Flanders,Belgium,2021/10/11 4:21,51.0362,3.7373,141773,0,,,"East Flanders, Belgium",9357.558493,0
,,Flemish Brabant,Belgium,2021/10/11 4:21,50.9167,4.5833,101264,0,,,"Flemish Brabant, Belgium",8834.951033,0
,,Hainaut,Belgium,2021/10/11 4:21,50.5257,4.0621,175167,0,,,"Hainaut, Belgium",13030.92228,0
,,Liege,Belgium,2021/10/11 4:21,50.4496,5.8492,152874,0,,,"Liege, Belgium",13809.8559,0
,,Limburg,Belgium,2021/10/11 4:21,50.9739,5.342,70083,0,,,"Limburg, Belgium",8018.209526,0
,,Luxembourg,Belgium,2021/10/11 4:21,50.0547,5.4677,35009,0,,,"Luxembourg, Belgium",12299.48215,0
,,Namur,Belgium,2021/10/11 4:21,50.331,4.8221,64895,0,,,"Namur, Belgium",13128.00283,0
,,Unknown,Belgium,2021/10/11 4:21,,,24872,25675,,,"Unknown, Belgium",,103.2285301
,,Walloon Brabant,Belgium,2021/10/11 4:21,50.4,4.35,48824,0,,,"Walloon Brabant, Belgium",12097.15584,0
,,West Flanders,Belgium,2021/10/11 4:21,51.0536,3.1458,110138,0,,,"West Flanders, Belgium",9210.433887,0
,,,Belize,2021/10/11 4:21,17.1899,-88.4976,22187,427,,,Belize,5579.936673,1.924550412
,,,Benin,2021/10/11 4:21,9.3077,2.3158,24335,159,,,Benin,200.7308633,0.653379905
,,,Bhutan,2021/10/11 4:21,27.5142,90.4336,2613,3,,,Bhutan,338.6417008,0.114810563
,,,Bolivia,2021/10/11 4:21,-16.2902,-63.5887,503735,18795,,,Bolivia,4315.375212,3.73112847
,,,Bosnia and Herzegovina,2021/10/11 4:21,43.9159,17.6791,240094,10863,,,Bosnia and Herzegovina,7318.12065,4.524477913
,,,Botswana,2021/10/11 4:21,-22.3285,24.6849,180438,2376,,,Botswana,7672.907032,1.316795797
,,Acre,Brazil,2021/10/11 4:21,-9.0238,-70.812,87944,1840,,,"Acre, Brazil",9971.709933,2.092240517
,,Alagoas,Brazil,2021/10/11 4:21,-9.5713,-36.782,238879,6241,,,"Alagoas, Brazil",7157.729904,2.612619778
,,Amapa,Brazil,2021/10/11 4:21,0.902,-52.003,123096,1986,,,"Amapa, Brazil",14554.98261,1.613374927
,,Amazonas,Brazil,2021/10/11 4:21,-3.4168,-65.8561,426919,13746,,,"Amazonas, Brazil",10300.61548,3.219814532
,,Bahia,Brazil,2021/10/11 4:21,-12.5797,-41.7007,1237675,26919,,,"Bahia, Brazil",8321.587267,2.174965156
,,Ceara,Brazil,2021/10/11 4:21,-5.4984,-39.3206,941592,24309,,,"Ceara, Brazil",10310.81863,2.581691433
,,Distrito Federal,Brazil,2021/10/11 4:21,-15.7998,-47.8645,506429,10604,,,"Distrito Federal, Brazil",16795.48883,2.09387693
,,Espirito Santo,Brazil,2021/10/11 4:21,-19.1834,-40.3089,594561,12663,,,"Espirito Santo, Brazil",14795.04311,2.129806698
,,Goias,Brazil,2021/10/11 4:21,-15.827,-49.8362,880224,23755,,,"Goias, Brazil",12541.74412,2.698744865
,,Maranhao,Brazil,2021/10/11 4:21,-4.9609,-45.2744,357923,10197,,,"Maranhao, Brazil",5058.852911,2.848936782
,,Mato Grosso,Brazil,2021/10/11 4:21,-12.6819,-56.9211,537240,13604,,,"Mato Grosso, Brazil",15418.14442,2.532201623
,,Mato Grosso do Sul,Brazil,2021/10/11 4:21,-20.7722,-54.7852,374132,9592,,,"Mato Grosso do Sul, Brazil",13462.89618,2.563801011
,,Minas Gerais,Brazil,2021/10/11 4:21,-18.5122,-44.555,2158771,54996,,,"Minas Gerais, Brazil",10197.89463,2.547560626
,,Para,Brazil,2021/10/11 4:21,-1.9981,-54.9306,593608,16690,,,"Para, Brazil",6900.119902,2.811619789
,,Paraiba,Brazil,2021/10/11 4:21,-7.24,-36.782,443141,9346,,,"Paraiba, Brazil",11028.54638,2.109035273
,,Parana,Brazil,2021/10/11 4:21,-25.2521,-52.0215,1527671,39540,,,"Parana, Brazil",13360.82513,2.588253623
,,Pernambuco,Brazil,2021/10/11 4:21,-8.8137,-36.9541,624197,19845,,,"Pernambuco, Brazil",6531.258374,3.179284745
,,Piaui,Brazil,2021/10/11 4:21,-7.7183,-42.7289,321433,7037,,,"Piaui, Brazil",9820.06442,2.189258726
,,Rio Grande do Norte,Brazil,2021/10/11 4:21,-5.4026,-36.9541,369846,7350,,,"Rio Grande do Norte, Brazil",10546.37876,1.987313639
,,Rio Grande do Sul,Brazil,2021/10/11 4:21,-30.0346,-51.2177,1448543,35045,,,"Rio Grande do Sul, Brazil",12731.93786,2.419327559
,,Rio de Janeiro,Brazil,2021/10/11 4:21,-22.9068,-43.1729,1300712,67175,,,"Rio de Janeiro, Brazil",7533.833155,5.164479147
