Country_Region,Confirmed,Deaths,Population,Continent
Afghanistan,155508,7225,38928341,Asia
Albania,174968,2768,2877800,Europe
Algeria,204597,5853,43851043,Africa
Andorra,15291,130,77265,Europe
Angola,61378,1622,32866268,Africa
Antigua and Barbuda,3750,93,97928,North America
Argentina,5265859,115473,45195777,South America
Armenia,272356,5549,2963234,Europe
Australia,129567,1448,25499881,Oceania
Austria,761218,11096,9006400,Europe
Azerbaijan,492179,6664,10139175,Europe
Bahamas,21580,590,393248,North America
Bahrain,275654,1390,1701583,Asia
Bangladesh,1562359,27688,164689383,Asia
Barbados,10918,94,287371,North America
Belarus,557772,4289,9449321,Europe
Belgium,1261102,25675,11589616,Europe
Belize,22187,427,397621,North America
Benin,24335,159,12123198,Africa
Bhutan,2613,3,771612,Asia
Bolivia,503735,18795,11673029,South America
Bosnia and Herzegovina,240094,10863,3280815,Europe
Botswana,180438,2376,2351625,Africa
Brazil,21575820,601011,212559409,South America
Brunei,8980,64,437479,Asia
Bulgaria,520862,21656,6948445,Europe
Burkina Faso,14495,195,20903278,Africa
Burma,478651,18134,54409800,Asia
Burundi,19041,38,11890781,Africa
Cabo Verde,37888,346,548800,Africa
Cambodia,114810,2506,16718971,Asia
Cameroon,95399,1517,26545864,Africa
Canada,1666906,28254,37742157,North America
Central African Republic,11401,100,4829764,Africa
Chad,5059,174,16425859,Africa
Chile,1662433,37564,19116209,South America
China,108761,4849,1439323774,Asia
Colombia,4972236,126623,50882884,South America
Comoros,4165,147,869595,Africa
Congo,71965,1293,5518092,Africa
Costa Rica,544021,6612,5094114,North America
Croatia,417858,8772,4105268,Europe
Cuba,918383,7851,11326616,North America
Cyprus,120992,559,875899,Europe
Czechia,1699743,30501,10708982,Europe
Denmark,365803,2671,5792203,Europe
Djibouti,13179,174,988002,Africa
Dominica,4006,26,71991,North America
Dominican Republic,365558,4067,10847904,North America
Ecuador,511699,32836,17643060,South America
Egypt,312413,17695,102334403,Africa
El Salvador,107664,3381,6486201,North America
Equatorial Guinea,12657,154,1402985,Africa
Eritrea,6741,42,3546427,Africa
Estonia,164618,1394,1326539,Europe
Eswatini,46276,1227,1160164,Africa
Ethiopia,354476,5990,114963583,Africa
Fiji,51499,653,896444,Oceania
Finland,145679,1096,5540718,Europe
France,7156066,117927,65273512,Europe
Gabon,32135,201,2225728,Africa
Gambia,9941,339,2416664,Africa
Georgia,634053,9246,3989175,Europe
Germany,4318437,94213,83783945,Europe
Ghana,128368,1158,31072945,Africa
Greece,676799,15135,10423056,Europe
Grenada,5619,177,112519,North America
Guatemala,579489,14027,17915567,North America
Guinea,30501,383,13132792,Africa
Guinea-Bissau,6117,135,1874000,Africa
Guyana,33696,840,786559,South America
Haiti,22526,641,11402533,North America
Honduras,369030,9948,9904608,North America
Hungary,827410,30275,9660350,Europe
Iceland,12147,33,341250,Europe
India,33971607,450782,1380004385,Asia
Indonesia,4227932,142651,273523621,Asia
Iran,5702890,122592,83992953,Asia
Iraq,2023761,22563,40222503,Asia
Ireland,403157,5280,4937796,Europe
Israel,1305711,7920,8655541,Asia
Italy,4700316,131301,60461828,Europe
Jamaica,86126,2000,2961161,North America
Japan,1711756,17952,126476458,Asia
Jordan,833471,10811,10203140,Asia
Kazakhstan,982888,16346,18776707,Asia
Kenya,251152,5181,53771300,Africa
"Korea, South",332816,2583,51640000,Asia
Kosovo,160386,2970,1932774,Europe
Kuwait,412079,2454,4270563,Asia
Kyrgyzstan,179281,2619,6524191,Asia
Laos,28540,26,7275556,Asia
Latvia,171276,2801,1886202,Europe
Lebanon,630180,8385,6825442,Asia
Lesotho,21457,652,2142252,Africa
Liberia,5799,286,5057677,Africa
Libya,346176,4775,6871287,Africa
Liechtenstein,3567,58,38137,Europe
Lithuania,351939,5231,2722291,Europe
Luxembourg,79018,836,625976,Europe
Madagascar,43610,960,27691019,Africa
Malawi,61676,2290,19129955,Africa
Malaysia,2339594,27329,32365998,Asia
Maldives,85548,234,540542,Asia
Mali,15471,553,20250834,Africa
Malta,37347,459,441539,Europe
Mauritania,36414,785,4649660,Africa
Mauritius,16189,106,1271767,Africa
Mexico,3723235,282086,128932753,North America
Moldova,306647,7024,4033963,Europe
Monaco,3335,35,39244,Europe
Mongolia,326738,1450,3278292,Asia
Montenegro,135298,1986,628062,Europe
Morocco,939187,14457,36910558,Africa
Mozambique,150985,1922,31255435,Africa
Namibia,128106,3527,2540916,Africa
Nepal,802198,11231,29136808,Asia
Netherlands,2062742,18630,17134873,Europe
New Zealand,4660,28,4822233,Oceania
Nicaragua,15134,205,6624554,North America
Niger,6115,204,24206636,Africa
Nigeria,207694,2747,206139587,Africa
North Macedonia,194891,6831,2083380,Europe
